RuleID,RunID,StrategyID,AnchorMode,AnchorID,AnchorLabel,BodyBinIndex,BodyBin,BodyMin,BodyMax,GapBinIndex,GapBin,GapMin,GapMax,Penetrate,TriggerCount,FillCount,FillRate,TotalTrades,LongTrades,ShortTrades,WinTrades,LossTrades,FlatTrades,WinRate,RawNetPoints,NetPoints,NetProfitTWD,TotalReturnRate,GrossProfitNetPoints,GrossLossNetPoints,PFNet,AvgNetPoints,MaxDrawdownNetPoints,MaxDrawdownRate,TotalFeeTWD,TotalTaxTWD,TotalSlippageTWD
160,G0160,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,24,71~73,71,73.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
161,G0161,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,25,74~76,74,76.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
162,G0162,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,26,77~79,77,79.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
163,G0163,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,27,80~82,80,82.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
164,G0164,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,28,83~85,83,85.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
165,G0165,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,29,86~88,86,88.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
166,G0166,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,30,89~91,89,91.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
167,G0167,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,31,92~94,92,94.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
168,G0168,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,32,95~97,95,97.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
169,G0169,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,33,98~100,98,100.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
170,G0170,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,5,41~50,41,50.0,34,101以上,101,,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
171,G0171,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,1,2~4,2,4.0,1,312,268,0.8589743589743589,268,137,131,115,152,1,0.4291044776119403,-625.0,-1720.3999999999983,-86019.99999999991,-0.34407999999999966,3023.400000000001,-4743.8,0.637337155866605,-6.419402985074621,1852.579999999999,0.37051599999999985,9648.0,18322.0,26800.0
172,G0172,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,2,5~7,5,7.0,1,97,84,0.865979381443299,84,34,50,34,50,0,0.40476190476190477,-139.0,-496.46000000000015,-24823.000000000007,-0.09929200000000003,821.8199999999999,-1318.2800000000004,0.6234032223806776,-5.910238095238097,764.7400000000002,0.15294800000000006,3024.0,6449.0,8400.0
173,G0173,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,3,8~10,8,10.0,1,24,18,0.75,18,6,12,8,10,0,0.4444444444444444,78.0,2.82000000000005,141.0000000000025,0.00056400000000001,347.14,-344.32,1.0081900557620818,0.15666666666666945,242.63999999999996,0.048527999999999995,648.0,1311.0,1800.0
174,G0174,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,4,11~13,11,13.0,1,8,6,0.75,6,2,4,2,4,0,0.3333333333333333,66.0,39.20000000000001,1960.0000000000005,0.007840000000000001,92.08,-52.879999999999995,1.741301059001513,6.533333333333335,42.44,0.008488,216.0,524.0,600.0
175,G0175,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,5,14~16,14,16.0,1,4,0,0.0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
176,G0176,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,6,17~19,17,19.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
177,G0177,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,7,20~22,20,22.0,1,1,0,0.0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
178,G0178,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,8,23~25,23,25.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
179,G0179,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,9,26~28,26,28.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
180,G0180,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,10,29~31,29,31.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
181,G0181,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,6,51~60,51,60.0,11,32~34,32,34.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
