RuleID,RunID,StrategyID,AnchorMode,AnchorID,AnchorLabel,BodyBinIndex,BodyBin,BodyMin,BodyMax,GapBinIndex,GapBin,GapMin,GapMax,Penetrate,TriggerCount,FillCount,FillRate,TotalTrades,LongTrades,ShortTrades,WinTrades,LossTrades,FlatTrades,WinRate,RawNetPoints,NetPoints,NetProfitTWD,TotalReturnRate,GrossProfitNetPoints,GrossLossNetPoints,PFNet,AvgNetPoints,MaxDrawdownNetPoints,MaxDrawdownRate,TotalFeeTWD,TotalTaxTWD,TotalSlippageTWD
38,G0038,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,4,11~13,11,13.0,1,6,6,1.0,6,1,5,5,1,0,0.8333333333333334,101.0,74.72,3736.0,0.014944,81.75999999999999,-7.04,11.613636363636362,12.453333333333333,7.04,0.001408,216.0,498.0,600.0
39,G0039,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,5,14~16,14,16.0,1,1,1,1.0,1,0,1,1,0,0,1.0,191.0,186.44,9322.0,0.037288,186.44,-0.0,inf,186.44,0.0,0.0,36.0,92.0,100.0
40,G0040,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,6,17~19,17,19.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
41,G0041,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,7,20~22,20,22.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
42,G0042,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,8,23~25,23,25.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
43,G0043,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,9,26~28,26,28.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
44,G0044,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,10,29~31,29,31.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
45,G0045,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,11,32~34,32,34.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
46,G0046,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,12,35~37,35,37.0,1,1,1,1.0,1,1,0,0,1,0,0.0,-31.0,-35.4,-1770.0,-0.00708,0.0,-35.4,0.0,-35.4,35.4,0.00708,36.0,84.0,100.0
47,G0047,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,13,38~40,38,40.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
48,G0048,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,14,41~43,41,43.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
49,G0049,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,15,44~46,44,46.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
50,G0050,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,16,47~49,47,49.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
51,G0051,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,17,50~52,50,52.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
52,G0052,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,18,53~55,53,55.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
53,G0053,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,19,56~58,56,58.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
54,G0054,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,20,59~61,59,61.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
55,G0055,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,21,62~64,62,64.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
56,G0056,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,22,65~67,65,67.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
57,G0057,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,23,68~70,68,70.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
58,G0058,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,24,71~73,71,73.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
59,G0059,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,25,74~76,74,76.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
60,G0060,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,26,77~79,77,79.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
61,G0061,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,27,80~82,80,82.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
62,G0062,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,28,83~85,83,85.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
63,G0063,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,29,86~88,86,88.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
64,G0064,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,30,89~91,89,91.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
65,G0065,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,31,92~94,92,94.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
66,G0066,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,32,95~97,95,97.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
67,G0067,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,33,98~100,98,100.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
68,G0068,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,2,11~20,11,20.0,34,101以上,101,,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
69,G0069,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,1,2~4,2,4.0,1,3093,2658,0.8593598448108632,2658,1285,1373,955,1701,2,0.35929270127915724,-2644.0,-13244.280000000004,-662214.0000000002,-2.6488560000000008,14553.240000000009,-27797.520000000342,0.5235445464199623,-4.982799097065464,13338.86000000001,2.667772000000002,95688.0,168526.0,265800.0
70,G0070,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,2,5~7,5,7.0,1,240,190,0.7916666666666666,190,97,93,81,109,0,0.4263157894736842,-752.0,-1567.1599999999996,-78357.99999999999,-0.31343199999999993,1541.42,-3108.5799999999995,0.4958598459746895,-8.248210526315788,1594.9599999999998,0.31899199999999994,6840.0,14918.0,19000.0
71,G0071,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,3,8~10,8,10.0,1,30,18,0.6,18,8,10,7,11,0,0.3888888888888889,24.0,-54.440000000000005,-2722.0000000000005,-0.010888000000000002,239.37999999999997,-293.82,0.814716493091008,-3.0244444444444447,183.06,0.036612,648.0,1474.0,1800.0
72,G0072,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,4,11~13,11,13.0,1,10,6,0.6,6,4,2,3,3,0,0.5,127.0,100.48,5024.0,0.020096,168.92000000000002,-68.44,2.468147282291058,16.746666666666666,49.879999999999995,0.009976,216.0,510.0,600.0
73,G0073,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,5,14~16,14,16.0,1,1,0,0.0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
74,G0074,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,6,17~19,17,19.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
75,G0075,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,7,20~22,20,22.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
76,G0076,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,8,23~25,23,25.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
77,G0077,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,9,26~28,26,28.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
78,G0078,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,10,29~31,29,31.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
79,G0079,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,11,32~34,32,34.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
80,G0080,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,12,35~37,35,37.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
81,G0081,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,13,38~40,38,40.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
82,G0082,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,14,41~43,41,43.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
83,G0083,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,15,44~46,44,46.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
84,G0084,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,16,47~49,47,49.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
85,G0085,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,17,50~52,50,52.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
86,G0086,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,18,53~55,53,55.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
87,G0087,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,19,56~58,56,58.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
88,G0088,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,20,59~61,59,61.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
89,G0089,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,21,62~64,62,64.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
90,G0090,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,22,65~67,65,67.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
91,G0091,A01_A08_BODY_GAP_BIN_ROD_P1,1,A01,C[1] 前收,3,21~30,21,30.0,23,68~70,68,70.0,1,0,0,,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,-0.0,,,0.0,0.0,0.0,0.0,0.0
